Year	State	CO	NO2	O3	SO2
2015	January-15	22.554	859.9	0.909	26.6
2015	February-15	13.008	650.3	0.995	34.7
2015	March-15	14.009	576.1	1.202	17.5
2015	April-15	7.33	339.7	0.896	12
2015	May-15	9.755	457.5	1.613	22.9
2015	June-15	7.409	399.6	1.377	22.7
2015	July-15	9.23	434.2	1.471	21.6
2015	August-15	11.509	512.2	1.685	23.1
2015	September-15	11.436	456.7	1.293	16.7
2015	October-15	18.76	615.3	1.069	15
2015	November-15	19.955	651.2	0.877	18
2015	December-15	21.117	616.8	0.784	14.7
2015	January-16	16.112	719	0.885	19.3
2015	February-16	13.287	565	0.981	13.3
2015	March-16	12.983	565.2	1.329	11.9
2015	April-16	10.131	426.2	1.279	8.8
2015	May-16	10.384	390.2	1.454	8.4
