K,State,2016,fips
0,Alabama,25.07,US01
1,Arizona,31.07,US04
2,Arkansas,22.06,US05
3,California,19.49,US06
4,Colorado,48.37,US08
5,Delaware,31.84,US10
6,District Of Columbia,27.29,US11
7,Florida,15.55,US12
8,Georgia,42.00,US13
9,Illinois,24.62,US17
10,Indiana,27.79,US18
11,Iowa,17.00,US19
12,Kansas,26.26,US20
13,Louisiana,29.40,US22
14,Maine,23.00,US23
15,Maryland,19.48,US24
16,Massachusetts,29.84,US25
17,Missouri,25.32,US29
18,Nevada,34.28,US32
19,New Hampshire,8.89,US33
20,New York,32.39,US36
21,North Carolina,19.82,US37
22,North Dakota,13.32,US38
23,Ohio,23.31,US39
24,Oklahoma,20.70,US40
25,Pennsylvania,16.53,US42
26,Rhode Island,19.13,US44
27,South Carolina,20.75,US45
28,Tennessee,2.65,US47
29,Texas,25.68,US48
30,Utah,43.14,US49
31,Virginia,21.90,US51
32,Washington,26.36,US53
33,Wyoming,12.06,US56
